id;eventname;hostname;traptime;i2;e2;h2;t2;formatline;fl2
10980679;alarmACmainsTrap;RC_EV_SCF2_BL_ELG_1;"2014-10-10 09:05:22";NULL;NULL;NULL;NULL;"1 0";NULL
10980319;alarmACmainsTrap;RC_EV_SCF2_BL_ELG_1;"2014-10-10 09:01:41";NULL;NULL;NULL;NULL;"1 0";NULL
10980213;alarmACmainsTrap;RC_EV_SCF2_BL_ALR_1;"2014-10-10 09:00:12";NULL;NULL;NULL;NULL;"1 0";NULL
10979210;alarmACmainsTrap;RC_EV_SCF2_BL_ZAM_1;"2014-10-10 08:49:30";NULL;NULL;NULL;NULL;"1 0";NULL
10978939;alarmACmainsTrap;RC_EV_SCF2_BL_ELG_1;"2014-10-10 08:46:59";NULL;NULL;NULL;NULL;"1 0";NULL
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978767;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:44:59";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978766;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:44:59";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978765;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:44:59";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306249728"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978763;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:44:59";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978762;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:44:59";"1 0";"Link down on interface 306249728.  Admin state: $2.  Operational state: $3 "
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978631;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:43:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978629;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:43:49";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306266112"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978630;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:43:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978628;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:43:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978626;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:43:49";"1 0";"Link down on interface 306266112.  Admin state: $2.  Operational state: $3 "
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978627;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:43:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10978667;alarmACmainsTrap;RC_EV_SCF2_SU_PDR_1;"2014-10-10 08:44:08";10978764;linkDown;AC_AL_SA30_SU_PDR_1;"2014-10-10 08:44:59";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306249728"
10978663;alarmACmainsTrap;RC_EV_SCF2_SU_BVT_1;"2014-10-10 08:44:07";NULL;NULL;NULL;NULL;"1 0";NULL
10978149;alarmACmainsTrap;RC_EV_SCF2_BL_ELG_1;"2014-10-10 08:39:05";NULL;NULL;NULL;NULL;"1 0";NULL
10978183;alarmACmainsTrap;RC_EV_SCF2_BL_ALR_1;"2014-10-10 08:39:39";NULL;NULL;NULL;NULL;"1 0";NULL
10977690;alarmACmainsTrap;RC_EV_SCF2_BL_ALR_1;"2014-10-10 08:34:27";NULL;NULL;NULL;NULL;"1 0";NULL
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976792;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:25:48";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306233344"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976791;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:25:48";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306233344"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976790;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:25:48";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306233344"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976788;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:25:48";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306233344"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976789;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:25:48";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306233344"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976787;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:25:48";"1 0";"Link down on interface 306233344.  Admin state: $2.  Operational state: $3 "
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976513;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:24:34";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976512;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:24:34";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976510;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:24:34";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976511;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:24:34";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306266112"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976509;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:24:34";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10976534;alarmACmainsTrap;RC_EV_SCF2_CR_BVI_1;"2014-10-10 08:24:54";10976508;linkDown;AC_AL_SA30_CR_BVI_1;"2014-10-10 08:24:34";"1 0";"Link down on interface 306266112.  Admin state: $2.  Operational state: $3 "
10975959;alarmACmainsTrap;RC_EV_SCF2_GV_CAM_1;"2014-10-10 08:17:27";NULL;NULL;NULL;NULL;"1 0";NULL
10974811;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-10 08:04:19";NULL;NULL;NULL;NULL;"1 0";NULL
10974306;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-10 07:58:40";NULL;NULL;NULL;NULL;"1 0";NULL
10973730;alarmACmainsTrap;RC_EV_SCF2_BL_MGG_1;"2014-10-10 07:51:16";NULL;NULL;NULL;NULL;"1 0";NULL
10973651;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-10 07:50:17";NULL;NULL;NULL;NULL;"1 0";NULL
10973514;alarmACmainsTrap;RC_EV_SCF2_CR_MTS_1;"2014-10-10 07:48:44";NULL;NULL;NULL;NULL;"1 0";NULL
10973228;alarmACmainsTrap;RC_EV_SCF2_SU_TVJ_1;"2014-10-10 07:45:13";NULL;NULL;NULL;NULL;"1 0";NULL
10972842;alarmACmainsTrap;RC_EV_SCF2_BL_MGG_1;"2014-10-10 07:40:05";NULL;NULL;NULL;NULL;"1 0";NULL
10972256;alarmACmainsTrap;RC_EV_SCF2_CS_ROB_1;"2014-10-10 07:32:30";NULL;NULL;NULL;NULL;"1 0";NULL
